Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Product_Category,Product_Name,Quantity,Sales_Amount,Discount_Percent,Profit,Shipping_Cost,Payment_Method,Delivery_Days,Customer_Rating
ORD20251110000,2025-11-03,CUST1076,Larry Ward,South,Chennai,Electronics,Headphones,5,14049.89,5,1727.16,60.46,UPI,3,2.0
ORD20251110001,2025-11-22,CUST1127,Kevin Meadows,South,Bangalore,Electronics,Headphones,5,13958.28,15,3282.33,237.37,Credit Card,7,2.0
ORD20251110002,2025-11-26,CUST1090,Mrs. Debra Diaz DVM,North,Delhi,Grocery,Rice Bag,2,2852.49,10,524.81,152.93,Credit Card,3,2.0
ORD20251110003,2025-11-26,CUST1055,Jason Williams,South,Chennai,Grocery,Rice Bag,4,5357.52,5,642.54,279.61,,2,1.0
ORD20251110004,2025-11-22,CUST1098,Cody Garcia,West,Pune,Grocery,Dry Fruits,3,6560.27,0,1169.67,119.78,Cash,6,5.0
ORD20251110005,2025-11-11,CUST1014,Paul Duffy,West,Mumbai,Electronics,Headphones,2,4901.32,10,583.93,199.14,,4,5.0
ORD20251110006,2025-11-17,CUST1059,Jennifer Collins,West,Pune,Grocery,Cooking Oil,3,2812.74,0,661.32,50.42,Credit Card,3,4.0
ORD20251110007,2025-11-03,CUST1169,Dr. Abigail Long,East,Bhubaneswar,Clothing,T-Shirt,3,2232.1,10,422.85,131.55,Credit Card,2,4.0
ORD20251110008,2025-11-22,CUST1194,David Conley,South,Bangalore,Furniture,Sofa,4,96077.5,0,19902.62,102.55,,4,4.0
ORD20251110009,2025-11-15,CUST1109,Javier Bell,East,Kolkata,Grocery,Cooking Oil,1,812.5,10,95.09,208.24,Credit Card,6,3.0
ORD20251110010,2025-11-08,CUST1101,David Delacruz,East,Bhubaneswar,Furniture,Office Chair,1,7293.63,5,1485.7,202.82,Cash,4,5.0
ORD20251110011,2025-11-07,CUST1196,Katrina Hardy,North,Jaipur,Grocery,Tea Pack,2,979.65,5,196.12,51.39,UPI,7,4.0
ORD20251110012,2025-11-08,CUST1090,Mrs. Debra Diaz DVM,North,Delhi,Grocery,Rice Bag,5,7719.9,5,591.87,80.34,Cash,6,5.0
